size,operation,time,memory
10000,read,0.05610942840576172,1.26953125
10000,sort,0.0009992122650146484,1.38671875
10000,filter,0.0010020732879638672,1.45703125
10000,groupby,0.0009984970092773438,1.48828125
100000,read,0.005395412445068359,4.07421875
100000,sort,0.008710861206054688,3.17578125
100000,filter,0.001512765884399414,3.39453125
100000,groupby,0.0040149688720703125,3.87890625
1000000,read,0.04473400115966797,27.46484375
1000000,sort,0.19159150123596191,31.375
1000000,filter,0.017673254013061523,32.546875
1000000,groupby,0.04637551307678223,32.35546875
